Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
VER,Red Bull Racing,40.0,3.0,HARD,4.0,True,1,96.942,2023,Bahrain Grand Prix,R,2,1,16.0,0.19047619047619047,0.012668377530652128
VER,Red Bull Racing,43.0,3.0,HARD,7.0,True,1,96.89,2023,Bahrain Grand Prix,R,2,1,49.0,0.3333333333333333,0.012668377530652128
VER,Red Bull Racing,44.0,3.0,HARD,8.0,True,1,96.236,2023,Bahrain Grand Prix,R,2,1,64.0,0.38095238095238093,0.012668377530652128
VER,Red Bull Racing,45.0,3.0,HARD,9.0,True,1,97.015,2023,Bahrain Grand Prix,R,2,1,81.0,0.42857142857142855,0.012668377530652128
VER,Red Bull Racing,46.0,3.0,HARD,10.0,True,1,96.701,2023,Bahrain Grand Prix,R,2,1,100.0,0.47619047619047616,0.012668377530652128
VER,Red Bull Racing,47.0,3.0,HARD,11.0,True,1,97.009,2023,Bahrain Grand Prix,R,2,1,121.0,0.5238095238095238,0.012668377530652128
VER,Red Bull Racing,48.0,3.0,HARD,12.0,True,1,96.918,2023,Bahrain Grand Prix,R,2,1,144.0,0.5714285714285714,0.012668377530652128
VER,Red Bull Racing,49.0,3.0,HARD,13.0,True,1,96.962,2023,Bahrain Grand Prix,R,2,1,169.0,0.6190476190476191,0.012668377530652128
VER,Red Bull Racing,50.0,3.0,HARD,14.0,True,1,97.25,2023,Bahrain Grand Prix,R,2,1,196.0,0.6666666666666666,0.012668377530652128
VER,Red Bull Racing,51.0,3.0,HARD,15.0,True,1,97.427,2023,Bahrain Grand Prix,R,2,1,225.0,0.7142857142857143,0.012668377530652128
VER,Red Bull Racing,52.0,3.0,HARD,16.0,True,1,96.919,2023,Bahrain Grand Prix,R,2,1,256.0,0.7619047619047619,0.012668377530652128
VER,Red Bull Racing,53.0,3.0,HARD,17.0,True,1,96.89,2023,Bahrain Grand Prix,R,2,1,289.0,0.8095238095238095,0.012668377530652128
VER,Red Bull Racing,54.0,3.0,HARD,18.0,True,1,96.678,2023,Bahrain Grand Prix,R,2,1,324.0,0.8571428571428571,0.012668377530652128
VER,Red Bull Racing,55.0,3.0,HARD,19.0,True,1,96.322,2023,Bahrain Grand Prix,R,2,1,361.0,0.9047619047619048,0.012668377530652128
VER,Red Bull Racing,56.0,3.0,HARD,20.0,True,1,97.205,2023,Bahrain Grand Prix,R,2,1,400.0,0.9523809523809523,0.012668377530652128
VER,Red Bull Racing,57.0,3.0,HARD,21.0,True,1,96.373,2023,Bahrain Grand Prix,R,2,1,441.0,1.0,0.012668377530652128
