Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
GAS,Alpine,13.0,2.0,HARD,4.0,True,1,99.349,2023,Bahrain Grand Prix,R
GAS,Alpine,14.0,2.0,HARD,5.0,True,1,98.859,2023,Bahrain Grand Prix,R
GAS,Alpine,15.0,2.0,HARD,6.0,True,1,98.985,2023,Bahrain Grand Prix,R
GAS,Alpine,16.0,2.0,HARD,7.0,True,1,98.945,2023,Bahrain Grand Prix,R
GAS,Alpine,17.0,2.0,HARD,8.0,True,1,99.011,2023,Bahrain Grand Prix,R
GAS,Alpine,18.0,2.0,HARD,9.0,True,1,99.029,2023,Bahrain Grand Prix,R
GAS,Alpine,19.0,2.0,HARD,10.0,True,1,99.066,2023,Bahrain Grand Prix,R
GAS,Alpine,20.0,2.0,HARD,11.0,True,1,99.017,2023,Bahrain Grand Prix,R
GAS,Alpine,21.0,2.0,HARD,12.0,True,1,99.327,2023,Bahrain Grand Prix,R
GAS,Alpine,22.0,2.0,HARD,13.0,True,1,99.485,2023,Bahrain Grand Prix,R
GAS,Alpine,23.0,2.0,HARD,14.0,True,1,99.263,2023,Bahrain Grand Prix,R
GAS,Alpine,24.0,2.0,HARD,15.0,True,1,99.761,2023,Bahrain Grand Prix,R
GAS,Alpine,27.0,3.0,HARD,2.0,True,1,98.729,2023,Bahrain Grand Prix,R
GAS,Alpine,28.0,3.0,HARD,3.0,True,1,97.761,2023,Bahrain Grand Prix,R
GAS,Alpine,29.0,3.0,HARD,4.0,True,1,98.012,2023,Bahrain Grand Prix,R
GAS,Alpine,30.0,3.0,HARD,5.0,True,1,97.76,2023,Bahrain Grand Prix,R
GAS,Alpine,31.0,3.0,HARD,6.0,True,1,97.968,2023,Bahrain Grand Prix,R
GAS,Alpine,32.0,3.0,HARD,7.0,True,1,98.012,2023,Bahrain Grand Prix,R
GAS,Alpine,33.0,3.0,HARD,8.0,True,1,97.974,2023,Bahrain Grand Prix,R
GAS,Alpine,34.0,3.0,HARD,9.0,True,1,98.022,2023,Bahrain Grand Prix,R
GAS,Alpine,35.0,3.0,HARD,10.0,True,1,98.088,2023,Bahrain Grand Prix,R
GAS,Alpine,36.0,3.0,HARD,11.0,True,1,98.184,2023,Bahrain Grand Prix,R
GAS,Alpine,37.0,3.0,HARD,12.0,True,1,98.133,2023,Bahrain Grand Prix,R
GAS,Alpine,38.0,3.0,HARD,13.0,True,1,98.108,2023,Bahrain Grand Prix,R
GAS,Alpine,39.0,3.0,HARD,14.0,True,1,98.537,2023,Bahrain Grand Prix,R
GAS,Alpine,42.0,4.0,SOFT,2.0,True,1,95.068,2023,Bahrain Grand Prix,R
GAS,Alpine,43.0,4.0,SOFT,3.0,True,1,95.942,2023,Bahrain Grand Prix,R
GAS,Alpine,44.0,4.0,SOFT,4.0,True,1,95.792,2023,Bahrain Grand Prix,R
GAS,Alpine,45.0,4.0,SOFT,5.0,True,1,96.186,2023,Bahrain Grand Prix,R
GAS,Alpine,46.0,4.0,SOFT,6.0,True,1,96.041,2023,Bahrain Grand Prix,R
GAS,Alpine,47.0,4.0,SOFT,7.0,True,1,96.12,2023,Bahrain Grand Prix,R
GAS,Alpine,48.0,4.0,SOFT,8.0,True,1,96.368,2023,Bahrain Grand Prix,R
GAS,Alpine,49.0,4.0,SOFT,9.0,True,1,96.803,2023,Bahrain Grand Prix,R
GAS,Alpine,50.0,4.0,SOFT,10.0,True,1,96.551,2023,Bahrain Grand Prix,R
GAS,Alpine,51.0,4.0,SOFT,11.0,True,1,96.635,2023,Bahrain Grand Prix,R
GAS,Alpine,52.0,4.0,SOFT,12.0,True,1,96.891,2023,Bahrain Grand Prix,R
GAS,Alpine,53.0,4.0,SOFT,13.0,True,1,96.979,2023,Bahrain Grand Prix,R
GAS,Alpine,54.0,4.0,SOFT,14.0,True,1,97.222,2023,Bahrain Grand Prix,R
GAS,Alpine,55.0,4.0,SOFT,15.0,True,1,97.559,2023,Bahrain Grand Prix,R
GAS,Alpine,56.0,4.0,SOFT,16.0,True,1,97.845,2023,Bahrain Grand Prix,R
GAS,Alpine,57.0,4.0,SOFT,17.0,True,1,98.147,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,2.0,1.0,SOFT,5.0,False,21,98.862,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,3.0,1.0,SOFT,6.0,False,1,98.83,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,4.0,1.0,SOFT,7.0,False,1,98.758,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,5.0,1.0,SOFT,8.0,False,1,98.404,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,6.0,1.0,SOFT,9.0,False,1,98.718,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,7.0,1.0,SOFT,10.0,False,1,98.804,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,8.0,1.0,SOFT,11.0,False,1,99.172,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,9.0,1.0,SOFT,12.0,False,1,98.914,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,10.0,1.0,SOFT,13.0,False,1,99.085,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,11.0,1.0,SOFT,14.0,False,1,99.249,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,12.0,1.0,SOFT,15.0,False,1,99.197,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,13.0,1.0,SOFT,16.0,False,1,99.336,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,14.0,1.0,SOFT,17.0,False,1,98.739,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,15.0,1.0,SOFT,18.0,False,1,98.608,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,16.0,1.0,SOFT,19.0,False,1,98.77,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,19.0,2.0,SOFT,4.0,False,1,97.659,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,20.0,2.0,SOFT,5.0,False,1,97.448,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,21.0,2.0,SOFT,6.0,False,1,97.24,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,22.0,2.0,SOFT,7.0,False,1,97.169,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,23.0,2.0,SOFT,8.0,False,1,97.304,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,24.0,2.0,SOFT,9.0,False,1,97.352,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,25.0,2.0,SOFT,10.0,False,1,98.418,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,26.0,2.0,SOFT,11.0,False,1,97.454,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,27.0,2.0,SOFT,12.0,False,1,97.387,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,28.0,2.0,SOFT,13.0,False,1,97.211,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,29.0,2.0,SOFT,14.0,False,1,97.733,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,30.0,2.0,SOFT,15.0,False,1,97.4,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,31.0,2.0,SOFT,16.0,False,1,97.919,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,32.0,2.0,SOFT,17.0,False,1,97.722,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,33.0,2.0,SOFT,18.0,False,1,97.869,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,36.0,3.0,HARD,2.0,True,1,96.82,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,37.0,3.0,HARD,3.0,True,1,96.344,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,38.0,3.0,HARD,4.0,True,1,96.431,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,39.0,3.0,HARD,5.0,True,1,96.429,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,40.0,3.0,HARD,6.0,True,1,97.114,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,43.0,3.0,HARD,9.0,True,1,96.554,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,44.0,3.0,HARD,10.0,True,1,96.978,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,45.0,3.0,HARD,11.0,True,1,96.928,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,46.0,3.0,HARD,12.0,True,1,97.257,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,47.0,3.0,HARD,13.0,True,1,96.661,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,48.0,3.0,HARD,14.0,True,1,96.859,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,49.0,3.0,HARD,15.0,True,1,97.049,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,50.0,3.0,HARD,16.0,True,1,97.731,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,51.0,3.0,HARD,17.0,True,1,97.049,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,52.0,3.0,HARD,18.0,True,1,97.062,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,53.0,3.0,HARD,19.0,True,1,97.345,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,54.0,3.0,HARD,20.0,True,1,97.296,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,55.0,3.0,HARD,21.0,True,1,97.092,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,56.0,3.0,HARD,22.0,True,1,96.565,2023,Bahrain Grand Prix,R
PER,Red Bull Racing,57.0,3.0,HARD,23.0,True,1,96.558,2023,Bahrain Grand Prix,R
ALO,Aston Martin,2.0,1.0,SOFT,5.0,False,21,99.792,2023,Bahrain Grand Prix,R
ALO,Aston Martin,3.0,1.0,SOFT,6.0,False,1,99.1,2023,Bahrain Grand Prix,R
ALO,Aston Martin,4.0,1.0,SOFT,7.0,False,1,99.548,2023,Bahrain Grand Prix,R
ALO,Aston Martin,5.0,1.0,SOFT,8.0,False,1,99.662,2023,Bahrain Grand Prix,R
ALO,Aston Martin,6.0,1.0,SOFT,9.0,False,1,99.674,2023,Bahrain Grand Prix,R
ALO,Aston Martin,7.0,1.0,SOFT,10.0,False,1,99.729,2023,Bahrain Grand Prix,R
ALO,Aston Martin,8.0,1.0,SOFT,11.0,False,1,99.959,2023,Bahrain Grand Prix,R
ALO,Aston Martin,9.0,1.0,SOFT,12.0,False,1,100.275,2023,Bahrain Grand Prix,R
