Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1,97.68,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1,96.526,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1,96.503,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1,95.359,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1,95.84,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1,95.687,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1,95.129,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1,95.561,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1,95.443,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1,95.306,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1,94.848,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1,95.183,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1,94.2,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1,94.499,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1,94.443,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,12,93.79,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,21.0,2.0,HARD,3.0,True,1,96.946,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,22.0,2.0,HARD,4.0,True,1,94.973,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,23.0,2.0,HARD,5.0,True,1,94.115,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,24.0,2.0,HARD,6.0,True,1,94.146,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,25.0,2.0,HARD,7.0,True,1,92.933,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,26.0,2.0,HARD,8.0,True,1,92.94,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,27.0,2.0,HARD,9.0,True,1,92.838,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,28.0,2.0,HARD,10.0,True,1,92.869,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,29.0,2.0,HARD,11.0,True,1,92.67,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,30.0,2.0,HARD,12.0,True,1,92.877,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,31.0,2.0,HARD,13.0,True,1,92.382,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,32.0,2.0,HARD,14.0,True,1,92.4,2023,Saudi Arabian Grand Prix,R
VER,Red Bull Racing,33.0,2.0,HARD,15.0,True,1,92.387,2023,Saudi Arabian Grand Prix,R
