Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType
VER,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1,83.391,2023,Australian Grand Prix,R
VER,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1,83.104,2023,Australian Grand Prix,R
VER,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1,82.843,2023,Australian Grand Prix,R
VER,Red Bull Racing,10.0,2.0,HARD,2.0,True,1,87.827,2023,Australian Grand Prix,R
VER,Red Bull Racing,11.0,2.0,HARD,3.0,True,1,83.46,2023,Australian Grand Prix,R
VER,Red Bull Racing,12.0,2.0,HARD,4.0,True,1,81.994,2023,Australian Grand Prix,R
VER,Red Bull Racing,13.0,2.0,HARD,5.0,True,1,83.286,2023,Australian Grand Prix,R
VER,Red Bull Racing,14.0,2.0,HARD,6.0,True,1,82.869,2023,Australian Grand Prix,R
VER,Red Bull Racing,15.0,2.0,HARD,7.0,True,1,82.817,2023,Australian Grand Prix,R
VER,Red Bull Racing,16.0,2.0,HARD,8.0,True,1,82.599,2023,Australian Grand Prix,R
VER,Red Bull Racing,17.0,2.0,HARD,9.0,True,1,82.595,2023,Australian Grand Prix,R
VER,Red Bull Racing,20.0,2.0,HARD,12.0,True,1,82.389,2023,Australian Grand Prix,R
VER,Red Bull Racing,21.0,2.0,HARD,13.0,True,1,82.11,2023,Australian Grand Prix,R
VER,Red Bull Racing,22.0,2.0,HARD,14.0,True,1,82.269,2023,Australian Grand Prix,R
VER,Red Bull Racing,23.0,2.0,HARD,15.0,True,1,82.193,2023,Australian Grand Prix,R
VER,Red Bull Racing,24.0,2.0,HARD,16.0,True,1,81.843,2023,Australian Grand Prix,R
VER,Red Bull Racing,25.0,2.0,HARD,17.0,True,1,82.104,2023,Australian Grand Prix,R
VER,Red Bull Racing,26.0,2.0,HARD,18.0,True,1,81.972,2023,Australian Grand Prix,R
